,visibility,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,weather.id,weather.main,weather.description,city_name,sys.type,sys.id,rain.1h
861,10000.0,121.7725,16.9347,23.58,24.34,23.58,23.58,1014.0,90.0,1014.0,1007.0,2.32,359.0,4.26,58.0,803.0,Clouds,broken clouds,Cauayan,1.4955972752948994,1015018.9393586975,2.3390538143110584
862,10000.0,120.9169,14.4825,27.69,31.75,27.29,28.05,1011.0,83.0,1011.5388596412956,1003.3290800392612,1.03,0.0,4.517028376466673,20.0,801.0,Clouds,few clouds,Cavite City,1.0,8160.0,2.3390538143110584
863,10000.0,123.8907,10.3167,27.81,32.07,27.81,28.09,1010.0,83.0,1011.5388596412956,1003.3290800392612,2.06,360.0,4.517028376466673,75.0,803.0,Clouds,broken clouds,Cebu City,1.0,8187.0,2.3390538143110584
864,10000.0,121.1,14.6333,27.74,31.6,27.23,27.98,1011.0,81.0,1011.5388596412956,1003.3290800392612,1.03,0.0,4.517028376466673,20.0,801.0,Clouds,few clouds,City of Marikina,2.0,2008256.0,2.3390538143110584
865,10000.0,123.5833,12.3333,26.78,29.85,26.78,26.78,1010.0,87.0,1010.0,1006.0,4.47,58.0,8.2,86.0,804.0,Clouds,overcast clouds,City of Masbate,1.4955972752948994,1015018.9393586975,2.3390538143110584
866,10000.0,122.65,11.15,26.46,26.46,26.46,26.46,1010.0,94.0,1010.0,1004.0,1.95,352.0,3.37,100.0,804.0,Clouds,overcast clouds,City of Passi,2.0,2073369.0,2.3390538143110584
867,10000.0,123.9833,12.9833,26.59,26.59,26.59,26.59,1010.0,88.0,1010.0,1005.0,4.29,57.0,7.17,100.0,804.0,Clouds,overcast clouds,City of Sorsogon,1.4955972752948994,1015018.9393586975,2.3390538143110584
868,10000.0,124.2464,7.2236,25.06,26.0,25.06,25.06,1009.0,91.0,1009.0,1008.0,1.13,137.0,1.28,100.0,804.0,Clouds,overcast clouds,Cotabato,1.4955972752948994,1015018.9393586975,2.3390538143110584
869,10000.0,121.5047,17.7061,23.85,24.59,23.85,23.85,1014.0,88.0,1014.0,1010.0,1.77,315.0,1.79,11.0,801.0,Clouds,few clouds,Dagupan,1.4955972752948994,1015018.9393586975,2.3390538143110584
870,10000.0,124.0272,10.5208,28.31,34.55,28.03,28.31,1010.0,89.0,1010.0,1009.0,0.89,7.0,1.34,100.0,804.0,Clouds,overcast clouds,Danao,2.0,2089763.0,2.3390538143110584
871,10000.0,123.9469,10.2706,28.03,32.65,28.03,28.31,1010.0,83.0,1011.5388596412956,1003.3290800392612,2.06,360.0,4.517028376466673,75.0,803.0,Clouds,broken clouds,Dapitan,1.0,8187.0,2.3390538143110584
872,10000.0,120.9367,14.3294,27.13,31.0,26.77,27.53,1011.0,89.0,1011.0,1002.0,3.71,85.0,7.62,94.0,804.0,Clouds,overcast clouds,Dasmariñas,2.0,2084056.0,2.3390538143110584
873,10000.0,125.6128,7.0731,27.05,32.02,27.05,27.05,1010.0,100.0,1011.5388596412956,1003.3290800392612,1.03,360.0,4.517028376466673,75.0,803.0,Clouds,broken clouds,Davao,1.0,8154.0,2.3390538143110584
